Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
09/11/2015	23	52	0.6	335	17.3		1013	156	0	6	6	4	0.2	5	16	13
10/11/2015	28	38	0.4	353	16.6	86	1010	154	0	13	11	4	0.2	6	21	20
11/11/2015	28	46	0.4	353	16.3	88	1007	140	0	15	14	5	0.1	6	20	24
12/11/2015	18	56	0.4	20	16.6	81	1008	83	0	8	8	4	0.1	4	13	16
13/11/2015	20	51	0.3	21	17.7	79	1011	107	0	8	7	4	0.2	3	16	15
14/11/2015	16	42	0.4	25	16.9	82	1013	81	0	10	10	3	0.1	3	13	14
15/11/2015	11	45	0.7	285	15.5		1007	147	0	11	11	3	0.1	2	9	14
16/11/2015	30	28	0.5	4	14.7	74	1004	150	0	9	8	3	0.1	6	20	14
17/11/2015	27	37	0.5	5	15.2	81	1006	146	0	11	10	3	0.1	6	18	18
18/11/2015	24	38	0.6	309	14.5		1009	143	0	11	10	3	0.1	4	18	17
19/11/2015	33	30	0.5	307	15.5	72	1010	142	0	9	7	3	0.1	7	23	20
20/11/2015	30	29	0.6	267	19.1	63	1008	143	0	5	4	3	0.1	6	22	21
21/11/2015	11	63	1.7	295	18.9	42	994	52	0	3	2	3	0.2	3	8	30
22/11/2015	9	72	1.4	331	12.9	39	995	143	0	1	1	4	0.1	2	7	7
23/11/2015	18	54	0.9	352	10.5	54	1000	102	0	2	1	3	0.1	3	15	16
24/11/2015	23	52	0.7	348	9.8	53	1007	139	0	2	2	4	0.2	5	16	17
25/11/2015	23	51	2.2	305	16.5	46	1001	113	0	4	2	3	0.1	4	18	69
26/11/2015	19	67	2	314	18.1	35	996	120	0	4	2	3	0.2	3	14	47
27/11/2015	27	46	0.6	349	13.6	71	998	83	0	4	3	3	0.1	5	19	16
28/11/2015	19	43	0.7	337	13.4	70	1003	132	0	3	2	3	0.1	3	15	8
29/11/2015	15	47	0.7	343	12.7	78	1014	133	0	4	3	3	0.1	3	11	6
30/11/2015	25	37	0.7	296	12.1	78	1016	132	0	5	5	3	0.1	4	19	13
01/12/2015	42	31	0.7	358	11.8	68	1013	106	0	6	5	3	0.2	8	30	22
02/12/2015	50	24	0.5	356	12.3	72	1010	105	0	9	8	3	0.2	11	33	29
03/12/2015	27	42	0.6	317	13.2	82	1012	113	0	15	14	3	0.2	3	23	26
04/12/2015	41	34	0.5	326	12.4		1015	114	0	18	17	3	0.3	10	27	26
05/12/2015	24	37	0.5	310	12.5		1014	99	0	19	18	3	0.3	3	20	26
06/12/2015	21	44	0.4	10	14.4	84	1012	105	0	13	12	3	0.2	3	17	17
07/12/2015	21	44	0.5	20	14.7	86	1012	99	0	7	6	3	0.2	4	16	9
08/12/2015	18	46	0.5	1	13.9		1014	116	0	9	9	3	0.2	3	14	13
09/12/2015	28	32	0.6	11	13.7		1017	74	0	11	10	3	0.1	6	19	16
10/12/2015	21	41	0.8	20	13.7	87	1015	60	0	5	5	3	0.1	4	16	7
11/12/2015	27	47	0.6	36	13.8	83	1014	86	0	3	3	3	0.1	6	19	5
12/12/2015	20	49	0.7	24	13.5	81	1008	99	0	4	4	3	0.1	3	16	6
13/12/2015	15	42	0.8	294	13	78	1004	92	0	9	8	3	0.1	2	12	12
14/12/2015	32	25	0.6	295	12.9	76	1005	89	0	10	9	3	0.1	7	22	24
15/12/2015	35	25	0.8	292	15.9	59	1009	115	0	10	8	3	0.2	7	26	60
16/12/2015	33	31	0.6	352	16.7	53	1012	110	0	10	7	3	0.2	7	23	77
17/12/2015	44	22	0.6	301	14.9	60	1010	107	0	12	9	3	0.2	10	30	63
18/12/2015	47	21	0.4	13	14.6	67	1009	108	0	12	10	3	0.2	11	31	37
19/12/2015	36	25	0.5	326	13.7	64	1007	118	0	9	8	3	0.2	7	25	36
20/12/2015	22	33	0.5	8	12.7	82	1007	92	0	14	13	3	0.1	3	18	23
21/12/2015	26	32	0.5	336	13.4	85	1013	99	0	18	17	3	0.2	6	17	31
22/12/2015	26	42	0.5	334	14.1	84	1016	72	0	13	12	3	0.1	6	18	22
23/12/2015	26	35	0.4	353	12.9	85	1013	74	0	11	10	3	0.1	4	21	19
24/12/2015	19	45	0.6	332	13.1		1011	84	0	11	10	3	0.3	3	16	20
25/12/2015	16	42	0.6	7	12.9		1014	104	0	13	12	3	0.3	3	12	20
26/12/2015	20	45	0.6	350	12.7		1015	116	0	10	9	3	0.2	4	15	16
27/12/2015	19	51	0.7	27	13		1013	78	0	7	6	3	0.1	4	15	9
28/12/2015	22	52	0.5	20	14.2	83	1011	85	0	6	5	3	0.1	4	18	10
29/12/2015	36	26	0.5	311	14	78	1011	80	0	11	10	4	0.1	7	27	22
30/12/2015	20	45	1	312	13.5	61	1008	40	0	5	2	4	0.1	3	16	52
31/12/2015	24	44	0.5	335	16.7	65	1007	115	0	6	5	3	0.1	4	19	18
